name,chr,size_mb,src
sim_0012,10,33.892057,simulation (truth)
sim_0013,1,37.920616,simulation (truth)
sim_0013,2,10.349614,simulation (truth)
sim_0013,3,23.288396,simulation (truth)
sim_0013,3,1.654367,simulation (truth)
sim_0013,4,5.641551,simulation (truth)
sim_0013,5,20.530228,simulation (truth)
sim_0013,5,4.241782,simulation (truth)
sim_0013,6,4.581843,simulation (truth)
sim_0013,6,3.903051,simulation (truth)
sim_0013,10,2.757176,simulation (truth)
sim_0014,1,28.970672,simulation (truth)
sim_0014,1,11.1132,simulation (truth)
sim_0014,1,7.041189,simulation (truth)
sim_0014,2,2.120822,simulation (truth)
sim_0014,3,2.50276,simulation (truth)
sim_0014,3,2.884538,simulation (truth)
sim_0014,3,10.18072,simulation (truth)
sim_0014,4,3.223744,simulation (truth)
sim_0014,4,1.230113,simulation (truth)
sim_0014,5,7.42312,simulation (truth)
sim_0014,5,112.873833,simulation (truth)
sim_0014,6,3.648504,simulation (truth)
sim_0014,6,35.04261,simulation (truth)
sim_0014,7,11.919008,simulation (truth)
sim_0014,8,40.089943,simulation (truth)
sim_0015,1,20.190396,simulation (truth)
sim_0015,1,3.011593,simulation (truth)
sim_0015,2,2.757069,simulation (truth)
sim_0015,2,25.152956,simulation (truth)
sim_0015,4,3.435831,simulation (truth)
sim_0015,5,2.799577,simulation (truth)
sim_0015,5,113.552519,simulation (truth)
sim_0015,6,21.466781,simulation (truth)
sim_0015,7,22.183776,simulation (truth)
sim_0015,7,1.06041,simulation (truth)
sim_0015,8,6.448329,simulation (truth)
sim_0015,8,9.799764,simulation (truth)
sim_0015,9,136.778809,simulation (truth)
sim_0015,10,1.951232,simulation (truth)
sim_0016,1,5.005183,simulation (truth)
sim_0016,2,14.082261,simulation (truth)
sim_0016,3,3.308734,simulation (truth)
sim_0016,4,3.478249,simulation (truth)
sim_0016,8,5.430172,simulation (truth)
sim_0016,9,3.478865,simulation (truth)
sim_0016,10,0.721108,simulation (truth)
sim_0016,10,8.907799,simulation (truth)
sim_0017,1,13.318874,simulation (truth)
sim_0017,1,59.044181,simulation (truth)
sim_0017,2,166.484569,simulation (truth)
sim_0017,3,21.591609,simulation (truth)
sim_0017,3,12.853158,simulation (truth)
sim_0017,5,13.658539,simulation (truth)
sim_0017,8,8.781606,simulation (truth)
sim_0017,8,28.847789,simulation (truth)
sim_0017,9,113.614656,simulation (truth)
sim_0017,9,10.224471,simulation (truth)
sim_0017,10,6.829313,simulation (truth)
sim_0018,1,29.522091,simulation (truth)
sim_0018,2,21.589974,simulation (truth)
sim_0018,3,48.697776,simulation (truth)
sim_0018,3,21.421931,simulation (truth)
sim_0018,4,73.425001,simulation (truth)
sim_0018,5,2.332981,simulation (truth)
sim_0018,7,4.70822,simulation (truth)
sim_0018,8,10.223996,simulation (truth)
sim_0018,9,39.879678,simulation (truth)
sim_0019,1,81.949252,simulation (truth)
sim_0019,2,38.132389,simulation (truth)
sim_0019,2,3.775065,simulation (truth)
sim_0019,3,8.144576,simulation (truth)
sim_0019,4,0.593847,simulation (truth)
sim_0019,5,6.659599,simulation (truth)
sim_0019,5,10.986216,simulation (truth)
sim_0019,6,28.339545,simulation (truth)
sim_0019,6,4.454569,simulation (truth)
sim_0019,9,14.085163,simulation (truth)
sim_0019,9,1.866709,simulation (truth)
sim_0019,9,6.78803,simulation (truth)
sim_0020,1,79.913245,simulation (truth)
sim_0020,2,3.181234,simulation (truth)
sim_0020,2,3.732648,simulation (truth)
sim_0020,3,8.483933,simulation (truth)
sim_0020,5,140.869598,simulation (truth)
sim_0020,7,101.544856,simulation (truth)
sim_0020,7,43.349558,simulation (truth)
sim_0020,8,11.878501,simulation (truth)
sim_0020,9,0.466677,simulation (truth)
sim_0020,10,5.641606,simulation (truth)
sim_0021,1,79.064909,simulation (truth)
sim_0021,2,18.535989,simulation (truth)
sim_0021,2,174.034697,simulation (truth)
sim_0021,3,1.23017,simulation (truth)
sim_0021,3,29.354409,simulation (truth)
sim_0021,4,97.730332,simulation (truth)
sim_0021,4,21.336092,simulation (truth)
sim_0021,6,3.309108,simulation (truth)
sim_0021,8,11.369423,simulation (truth)
sim_0021,8,48.065507,simulation (truth)
sim_0021,10,12.428501,simulation (truth)
sim_0022,1,45.385973,simulation (truth)
sim_0022,3,72.961825,simulation (truth)
sim_0022,3,18.113197,simulation (truth)
sim_0022,4,121.060054,simulation (truth)
sim_0022,4,1.10286,simulation (truth)
sim_0022,5,21.590673,simulation (truth)
sim_0022,6,7.084886,simulation (truth)
sim_0022,7,14.209493,simulation (truth)
sim_0022,7,1.866321,simulation (truth)
sim_0022,8,47.217043,simulation (truth)
sim_0022,9,94.26877,simulation (truth)
sim_0022,9,2.715212,simulation (truth)
sim_0022,10,0,simulation (truth)
sim_0022,10,115.801395,simulation (truth)
sim_0023,2,113.421589,simulation (truth)
sim_0023,5,8.441147,simulation (truth)
sim_0023,7,1.357325,simulation (truth)
sim_0023,10,111.347496,simulation (truth)
